epoch,lr,train_accuracy,train_loss,validation_accuracy,validation_loss,seconds,test_accuracy,test_loss
1,0.001,0.8027222222222222,0.5301460602371781,0.7896666666666666,0.5717853698730468,9.405970257999968,0.7937,0.5565727203369141
2,0.0009972883382072953,0.8424074074074074,0.4300361859003703,0.83,0.46617875226338706,7.960776524999972,0.8286,0.46379298477172853
3,0.0009891830623632338,0.8586111111111111,0.3882600240000972,0.8455,0.4234825007120768,7.70495241399999,0.8447,0.42841438598632814
4,0.0009757729755661011,0.8741666666666666,0.34374649856708667,0.8631666666666666,0.37922803370157876,7.737942574999977,0.8643,0.38314105682373045
5,0.0009572050015330874,0.8782407407407408,0.330579400645362,0.8676666666666667,0.37186099370320636,7.626269045000015,0.8662,0.3713657638549805
6,0.0009336825748732973,0.8861296296296296,0.3111302551693387,0.8733333333333333,0.3516169923146566,7.01656671500001,0.8715,0.35532380294799804
7,0.0009054634122155991,0.8927962962962963,0.28948984107264764,0.876,0.3408752174377441,7.872648180999988,0.8748,0.33802737884521483
8,0.0008728566886113102,0.8934074074074074,0.29144350115458173,0.8793333333333333,0.3359448013305664,7.46323972600004,0.8764,0.34194145278930665
9,0.0008362196501476349,0.9040925925925926,0.26078894887147125,0.8878333333333334,0.31013268915812175,7.179922583999996,0.8858,0.3177635559082031
10,0.0007959536998847742,0.9063703703703704,0.25455219948733293,0.889,0.308614953994751,7.624205296000014,0.888,0.3133970191955566
11,0.0007525,0.9118703703703703,0.24060305591865822,0.892,0.3013292891184489,8.143022330000008,0.8899,0.29842431716918943
12,0.0007063346383225212,0.9148888888888889,0.23205641402138605,0.8953333333333333,0.2969334672292074,7.794221382999979,0.8949,0.2969877479553223
13,0.000657963412215599,0.9156111111111112,0.2241532557098954,0.8935,0.29441485691070557,7.47815513300003,0.8939,0.2929464073181152
14,0.0006079162869547909,0.9195,0.21495813076584427,0.8953333333333333,0.29020882193247477,8.28236014099997,0.8979,0.2878666454315186
15,0.0005567415893174886,0.9249814814814815,0.2053768866327074,0.8986666666666666,0.28176845264434813,7.353899610999974,0.9017,0.2814605773925781
16,0.0005050000000000002,0.9269259259259259,0.20147201443601537,0.8998333333333334,0.2780423243840536,9.180533200000013,0.9,0.279824409866333
17,0.0004532584106825117,0.9290185185185185,0.1927707288618441,0.8988333333333334,0.28141085783640546,8.094466081000007,0.8998,0.2777177227020264
18,0.00040208371304520916,0.9292962962962963,0.19223203235202366,0.9011666666666667,0.28641520404815674,7.7195011939999745,0.9008,0.2843273681640625
19,0.00035203658778440114,0.9293703703703704,0.19036135209048236,0.8956666666666667,0.29031214427948,7.806376779999994,0.8973,0.28471547737121583
20,0.00030366536167747904,0.9322037037037038,0.18173471918812503,0.9001666666666667,0.28437805048624676,7.947819992000063,0.8996,0.27882621383666994
21,0.00025750000000000013,0.9354444444444444,0.17564740268389384,0.9025,0.27712297757466636,7.795783750999931,0.903,0.27264692878723146
22,0.00021404630011522585,0.9376481481481481,0.17011582522922092,0.9041666666666667,0.27993586111068725,7.939582100999928,0.9049,0.2740343891143799
23,0.00017378034985236535,0.937962962962963,0.16702974347715024,0.9018333333333334,0.28350446351369224,6.448585020999985,0.9045,0.2752927947998047
24,0.00013714331138868998,0.9394259259259259,0.16393779905637104,0.902,0.2800710624059041,7.488069999999993,0.9031,0.2744635643005371
25,0.00010453658778440108,0.9407962962962962,0.1612055505205084,0.9048333333333334,0.2776737333933512,8.09759761500004,0.9047,0.27337235870361326
26,7.631742512670285e-05,0.9415370370370371,0.15965619691212973,0.9065,0.27879495461781817,7.973577255000009,0.9052,0.2740304393768311
27,5.279499846691252e-05,0.9425555555555556,0.15782607016298505,0.9048333333333334,0.27988607343037925,8.172776528999975,0.905,0.2746555877685547
28,3.4227024433899005e-05,0.9420555555555555,0.15794656395470655,0.9066666666666666,0.28139852078755695,7.5851831730000185,0.9035,0.27548154792785645
29,2.0816937636766188e-05,0.9431481481481482,0.1564599662621816,0.904,0.2800193246205648,6.9056201699999065,0.9047,0.2744493091583252
30,1.2711661792704668e-05,0.9431481481481482,0.15617167022934667,0.9025,0.28026703294118244,7.916378205000001,0.9056,0.27442249412536623
