epoch,lr,train_accuracy,train_loss,validation_accuracy,validation_loss,seconds,test_accuracy,test_loss
1,0.001,0.8835,0.32484717173046534,0.8716666666666667,0.36406024678548177,10.51018639900002,0.8667,0.37192660903930663
2,0.0009972883382072953,0.9056666666666666,0.25697197735751115,0.888,0.3103338476816813,8.715103160000012,0.8824,0.316816276550293
3,0.0009891830623632338,0.9190555555555555,0.2240693388691655,0.8936666666666667,0.2880877374013265,9.254945254000006,0.8903,0.29202390251159666
4,0.0009757729755661011,0.9297407407407408,0.19090229571748663,0.9043333333333333,0.2720498094558716,9.059123948000035,0.8994,0.27159083366394043
5,0.0009572050015330874,0.931074074074074,0.1821337307824029,0.9011666666666667,0.2759931920369466,8.884169658000019,0.9003,0.27544201011657715
6,0.0009336825748732973,0.9417962962962962,0.1590285238954756,0.9036666666666666,0.27266460768381756,8.339287332000026,0.9028,0.2677602325439453
7,0.0009054634122155991,0.9448888888888889,0.14856268156678587,0.9061666666666667,0.27208340692520144,8.591727665999997,0.9059,0.2692744400024414
8,0.0008728566886113102,0.943962962962963,0.14691830662444785,0.8993333333333333,0.29389605394999185,8.865121348999992,0.902,0.2818968605041504
9,0.0008362196501476349,0.9528703703703704,0.126386993571564,0.9048333333333334,0.2774355223973592,8.85558810799995,0.9038,0.27365852890014647
10,0.0007959536998847742,0.9595925925925926,0.11055861440300942,0.9081666666666667,0.27942675876617434,9.057484580999983,0.9071,0.275871891784668
11,0.0007525,0.9646296296296296,0.09951227989572066,0.9086666666666666,0.28359810415903725,9.513865693000014,0.9071,0.2750361927032471
12,0.0007063346383225212,0.9674074074074074,0.0906216839629191,0.909,0.2885263042449951,8.80612210999999,0.9096,0.29083342361450193
13,0.000657963412215599,0.9687037037037037,0.08484185933735636,0.9065,0.31263508478800456,9.069930572000032,0.9042,0.30927470245361327
14,0.0006079162869547909,0.9771296296296297,0.06646259672222314,0.9101666666666667,0.3116885746320089,10.141596187000005,0.9114,0.3023101173400879
15,0.0005567415893174886,0.9787407407407407,0.0615771477178291,0.9101666666666667,0.3247262258529663,9.314657430000011,0.9076,0.3198159797668457
16,0.0005050000000000002,0.9818148148148148,0.05518897986963943,0.9048333333333334,0.32812841033935547,9.098279042000001,0.9088,0.3238616416931152
17,0.0004532584106825117,0.9858888888888889,0.0447867702220877,0.9081666666666667,0.32940338071187336,8.775648702000012,0.9102,0.3244530044555664
18,0.00040208371304520916,0.9866851851851852,0.041547105011564715,0.9106666666666666,0.3547092882792155,8.747440743000084,0.9094,0.34360385971069335
19,0.00035203658778440114,0.9889444444444444,0.038780379022161166,0.9081666666666667,0.34575912125905356,8.829794110999956,0.9104,0.3460310134887695
20,0.00030366536167747904,0.9923333333333333,0.028083622956165562,0.91,0.353376945177714,8.938508953999985,0.9138,0.353711506652832
21,0.00025750000000000013,0.9921481481481481,0.027825489723847973,0.9071666666666667,0.3711998275121053,8.865497351000045,0.9101,0.36334545440673827
22,0.00021404630011522585,0.9942592592592593,0.023326369254401437,0.9061666666666667,0.37954359118143716,9.07811320799999,0.9094,0.3809970977783203
23,0.00017378034985236535,0.9956111111111111,0.019211890677197113,0.9081666666666667,0.38022569719950355,9.568567804000054,0.9105,0.37396124114990237
24,0.00013714331138868998,0.9970740740740741,0.01581844024663722,0.909,0.38523710378011067,9.16571984999996,0.9101,0.38476801834106444
25,0.00010453658778440108,0.9975,0.014572363619727116,0.909,0.3941796344121297,8.23787743999992,0.9093,0.3951865776062012
26,7.631742512670285e-05,0.9980370370370371,0.012976406569558162,0.9095,0.39595812288920085,8.863640669000006,0.911,0.396060147857666
27,5.279499846691252e-05,0.9983148148148148,0.012013178022923293,0.9088333333333334,0.40013411045074465,7.240887196000017,0.9105,0.4007866409301758
28,3.4227024433899005e-05,0.9982962962962963,0.011902599426055396,0.909,0.4016519610087077,7.214602517000003,0.9109,0.40451731567382815
29,2.0816937636766188e-05,0.9985555555555555,0.01126140309235564,0.9111666666666667,0.4069553419748942,7.079945275,0.9115,0.40299028854370117
30,1.2711661792704668e-05,0.9987592592592592,0.011016591659574597,0.9095,0.4038841772079468,7.190358996999976,0.9109,0.40210655364990233
