setting,epoch,train_accuracy,validation_accuracy,test_accuracy
baseline,27,0.9437037037037037,0.9046666666666666,0.9042
dropout,27,0.9304444444444444,0.903,0.9006
weight_decay,28,0.9420555555555555,0.9066666666666666,0.9035
batch_norm,29,0.9985555555555555,0.9111666666666667,0.9115
