epoch,lr,train_accuracy,train_loss,validation_accuracy,validation_loss,seconds,test_accuracy,test_loss
1,0.001,0.8023888888888889,0.529133900112576,0.7905,0.5701792081197102,6.879630785000018,0.792,0.5564236724853515
2,0.0009972883382072953,0.8409074074074074,0.4318455759331032,0.8298333333333333,0.46569485410054523,7.422170694999977,0.8273,0.46557515335083005
3,0.0009891830623632338,0.8557592592592592,0.39248794262497516,0.8436666666666667,0.42834134991963707,7.623144779000029,0.8439,0.43354140243530276
4,0.0009757729755661011,0.8744814814814815,0.34619000477261014,0.858,0.3817571506500244,7.73536001299999,0.8621,0.38727533111572265
5,0.0009572050015330874,0.8812407407407408,0.3251724107706988,0.8693333333333333,0.3662919267018636,7.307061415000021,0.8681,0.36555731506347655
6,0.0009336825748732973,0.8885,0.3056785580670392,0.8705,0.34629785537719726,7.562366822999991,0.8728,0.3493853179931641
7,0.0009054634122155991,0.8902592592592593,0.2935519960721334,0.8726666666666667,0.3433717370033264,7.483467208000036,0.8741,0.3426265823364258
8,0.0008728566886113102,0.8925925925925926,0.29143397476055005,0.8761666666666666,0.33712957000732424,7.213454528999989,0.8755,0.3444537643432617
9,0.0008362196501476349,0.9036666666666666,0.26007299130051226,0.8888333333333334,0.3114891599019369,7.492488926000021,0.8873,0.3175875015258789
10,0.0007959536998847742,0.9061481481481481,0.2556843880194205,0.8875,0.3095282834370931,7.023742435999964,0.887,0.3158390769958496
11,0.0007525,0.9122777777777777,0.2374031124468203,0.8905,0.2995732479095459,6.7250600039999995,0.8899,0.29807632751464846
12,0.0007063346383225212,0.9142777777777777,0.23233524904427705,0.8961666666666667,0.2987367728551229,7.005573894000008,0.8931,0.30102147369384763
13,0.000657963412215599,0.9168148148148149,0.2209565568500095,0.8935,0.2922907638549805,7.3585659929999565,0.8941,0.2946333641052246
14,0.0006079162869547909,0.9210925925925926,0.21086988300747342,0.894,0.2880146236419678,7.352859997999985,0.8966,0.2885782150268555
15,0.0005567415893174886,0.9248703703703703,0.20470871603930438,0.897,0.281912872950236,7.889266518999989,0.8977,0.2882346244812012
16,0.0005050000000000002,0.9285,0.19525305032730103,0.9001666666666667,0.27445733292897545,7.342628528000034,0.8993,0.2802723602294922
17,0.0004532584106825117,0.930074074074074,0.18969844117871038,0.897,0.2789788643519084,7.743586140000048,0.9014,0.2798408187866211
18,0.00040208371304520916,0.930537037037037,0.18799157286131823,0.9005,0.28193619632720945,8.499634187000026,0.9013,0.28637902755737304
19,0.00035203658778440114,0.9318703703703703,0.18297561211939212,0.8993333333333333,0.2850970312754313,8.085756542000013,0.8977,0.2867521217346191
20,0.00030366536167747904,0.9346111111111111,0.1761440902021196,0.8993333333333333,0.2841878226598104,7.724139806999972,0.9031,0.2835969436645508
21,0.00025750000000000013,0.9381111111111111,0.17006495116375112,0.903,0.277549233118693,7.637841697999988,0.9025,0.275032625579834
22,0.00021404630011522585,0.9392222222222222,0.16670860382362648,0.9001666666666667,0.2813881297111511,7.601785779000011,0.9045,0.27960368118286133
23,0.00017378034985236535,0.9401666666666667,0.16163441755153515,0.9018333333333334,0.28210652256011964,7.790456809000034,0.9036,0.2786470481872559
24,0.00013714331138868998,0.9420185185185185,0.1594615233430156,0.9036666666666666,0.2798104797999064,8.226499273000059,0.9037,0.2781111038208008
25,0.00010453658778440108,0.9431111111111111,0.1560782908157066,0.903,0.27967223930358887,6.967264665000016,0.9044,0.2788447784423828
26,7.631742512670285e-05,0.9436481481481481,0.15536461979813046,0.9033333333333333,0.28034636306762695,7.64732867400005,0.9042,0.27830235443115237
27,5.279499846691252e-05,0.9437037037037037,0.15393422089682685,0.9046666666666666,0.28062762260437013,7.412683023,0.9042,0.278668147277832
28,3.4227024433899005e-05,0.9446666666666667,0.15373733263545566,0.9038333333333334,0.2831967582702637,7.510480677999908,0.9045,0.28056110916137694
29,2.0816937636766188e-05,0.9445555555555556,0.15234034083949194,0.9035,0.28162461185455323,7.933476352999946,0.9039,0.27938608627319333
30,1.2711661792704668e-05,0.9446296296296296,0.1520855596418734,0.9036666666666666,0.28169350083669026,7.633431187999918,0.9044,0.2793698455810547
