epoch,lr,train_accuracy,train_loss,validation_accuracy,validation_loss,seconds,test_accuracy,test_loss
1,0.001,0.7912222222222223,0.5252806577682495,0.7821666666666667,0.5656281286875406,8.910519404999945,0.7814,0.5526204055786132
2,0.0009972883382072953,0.8343148148148148,0.442730911537453,0.8235,0.47637466303507486,8.072044553000012,0.8192,0.47386108169555663
3,0.0009891830623632338,0.8582407407407407,0.3832520042702004,0.8446666666666667,0.41961228307088216,8.297791804999974,0.8465,0.42049662094116214
4,0.0009757729755661011,0.8666296296296296,0.35793984773423937,0.8516666666666667,0.39216751035054526,8.036440336999988,0.8534,0.3975372039794922
5,0.0009572050015330874,0.8782037037037037,0.328002759580259,0.8636666666666667,0.3668536154429118,7.596434170000009,0.8684,0.37164163436889647
6,0.0009336825748732973,0.8842777777777778,0.31244691760451704,0.8706666666666667,0.35196282386779787,7.826462905999961,0.8713,0.35753852920532225
7,0.0009054634122155991,0.8825185185185185,0.3122398154117443,0.865,0.3547169319788615,7.822676984999987,0.8644,0.3614628433227539
8,0.0008728566886113102,0.893462962962963,0.2877735741226761,0.8793333333333333,0.32884147071838377,7.857151488999989,0.8761,0.3391936660766602
9,0.0008362196501476349,0.8963148148148148,0.2769511286770856,0.8815,0.32591847229003906,7.890717465000023,0.8778,0.3338644065856934
10,0.0007959536998847742,0.9009259259259259,0.27049862006858544,0.8821666666666667,0.3164379119873047,7.310034922,0.8826,0.3239135986328125
11,0.0007525,0.9022037037037037,0.26389333504217644,0.8833333333333333,0.31527238655090334,7.342672619000041,0.8839,0.31961726379394534
12,0.0007063346383225212,0.9055555555555556,0.2512249778111776,0.8886666666666667,0.30657850901285805,7.726198770999986,0.8898,0.31135010375976563
13,0.000657963412215599,0.9103333333333333,0.24146791871388754,0.8878333333333334,0.297784974416097,7.439940294999985,0.8887,0.3051960807800293
14,0.0006079162869547909,0.9131666666666667,0.23338909852063214,0.8923333333333333,0.29780116240183513,7.77964851400003,0.8921,0.3028342155456543
15,0.0005567415893174886,0.9146666666666666,0.22989632652424,0.8931666666666667,0.2950371421178182,7.719492644000013,0.8922,0.2996915298461914
16,0.0005050000000000002,0.9172777777777777,0.22489980227858933,0.8925,0.28728198941548666,7.238169192999976,0.8932,0.29204687042236327
17,0.0004532584106825117,0.9174814814814815,0.21928215636147394,0.8955,0.2918900419871012,8.678013285999953,0.8928,0.29238447494506836
18,0.00040208371304520916,0.918074074074074,0.21691073458283036,0.8936666666666667,0.2927937790552775,8.660840192999956,0.8944,0.2955084846496582
19,0.00035203658778440114,0.9207037037037037,0.21186366511274268,0.8975,0.2892841285069784,8.505870274000017,0.8976,0.2916185577392578
20,0.00030366536167747904,0.9248888888888889,0.20423502757814196,0.8985,0.28356579240163166,7.794509710999989,0.8977,0.285483784866333
21,0.00025750000000000013,0.9245925925925926,0.20265697740625452,0.8981666666666667,0.28137129338582356,8.123838086999967,0.8987,0.2821373603820801
22,0.00021404630011522585,0.9255,0.1999322999495047,0.8978333333333334,0.28236478932698567,7.94695403500009,0.9005,0.28346828842163085
23,0.00017378034985236535,0.9265925925925926,0.19660947621310199,0.899,0.28276884269714353,7.9769941639999615,0.8991,0.28338206176757813
24,0.00013714331138868998,0.9287037037037037,0.1935016859902276,0.9,0.2815802558263143,7.5677838029999975,0.9004,0.2797232635498047
25,0.00010453658778440108,0.9287962962962963,0.19130534476704067,0.9016666666666666,0.28089512570699054,7.351107696999975,0.9018,0.2803944362640381
26,7.631742512670285e-05,0.9292962962962963,0.19010653489607351,0.9008333333333334,0.28003687063852944,7.980051968999987,0.9012,0.28092068099975587
27,5.279499846691252e-05,0.9304444444444444,0.18873070653279622,0.903,0.2794609394073486,8.520148199000005,0.9006,0.2791464496612549
28,3.4227024433899005e-05,0.9298703703703703,0.1888191932219046,0.9003333333333333,0.281622278213501,7.564382486999989,0.9014,0.2810204917907715
29,2.0816937636766188e-05,0.9304629629629629,0.1879587845714004,0.9016666666666666,0.27892352453867597,7.998190432999991,0.9017,0.27935355529785155
30,1.2711661792704668e-05,0.9303888888888889,0.18734516776049578,0.902,0.27943716684977216,7.162366633000033,0.9015,0.2791600685119629
